date,sales,cluster,Test_Forecast,Test Forecast
2016-01-01,0.0,Cluster 0,114270.64767505202,79084.1154960377
2016-01-02,86627.27701600001,Cluster 0,123630.97716738726,69999.22520630866
2016-01-03,110534.31089,Cluster 0,97044.17422813721,87532.2895773935
2016-01-04,74601.247117,Cluster 0,219159.09173446696,98110.0705318409
2016-01-05,68187.265,Cluster 0,122009.7255464137,77741.4965331268
2016-01-06,61196.633154,Cluster 0,125105.87547564927,94347.96541876326
2016-01-07,53633.303988,Cluster 0,95666.89980192213,85122.87375841863
2016-01-08,50351.320008,Cluster 0,91200.77801104164,80627.08420854528
2016-01-09,78768.585991,Cluster 0,81919.73309825025,75050.89018215805
2016-01-10,95810.204025,Cluster 0,91773.88342287068,91571.37064432795
2016-01-11,54389.34997,Cluster 0,101926.99534545689,105299.93367732834
2016-01-12,49296.452004,Cluster 0,113389.83490770278,81027.78636826511
2016-01-13,49373.51701,Cluster 0,135656.48787192954,104537.67326072289
2016-01-14,44124.114095,Cluster 0,144999.35532377695,87472.65412469722
2016-01-15,48758.170998,Cluster 0,118425.15816844518,85721.80742007325
2016-01-16,76868.926978,Cluster 0,240546.59545742712,77376.65929634204
2016-01-17,95649.92701,Cluster 0,143392.00676519747,92447.27960300582
2016-01-18,53004.300014,Cluster 0,146485.73944961475,103735.2300572031
2016-01-19,48051.099009,Cluster 0,117048.91805396337,83653.13637646454
2016-01-20,54421.127024,Cluster 0,112583.68526935426,100325.59423842191
2016-01-21,45100.6149499,Cluster 0,103301.75528939569,90576.55185570846
2016-01-22,47102.7261,Cluster 0,113155.5817224043,86593.02257903074
2016-01-23,68906.202,Cluster 0,123309.05590175684,80902.0847069528
2016-01-24,87223.22202,Cluster 0,134772.01215288346,96566.85484571465
2016-01-25,47172.283996,Cluster 0,157038.51737038983,109428.21893264118
2016-01-26,48479.34699,Cluster 0,166381.34335184647,86671.89531756644
2016-01-27,46461.119,Cluster 0,139807.20625296145,108372.61648257892
2016-01-28,43144.561008,Cluster 0,261928.65803091464,92909.64996544032
2016-01-29,47063.286006,Cluster 0,164774.0450050056,90957.09484809861
2016-01-30,80129.716992,Cluster 0,167867.77273793073,83282.13016290197
2016-01-31,98364.677903,Cluster 0,138430.96117144488,97803.57463782458
2016-02-01,70696.074012,Cluster 0,133965.73002898696,108818.6616906331
2016-02-02,66404.0939,Cluster 0,124683.79609052971,89237.35116622699
2016-02-03,62004.99701,Cluster 0,134537.6220019987,105838.63123958121
2016-02-04,59210.979008,Cluster 0,144691.0977709395,95790.84779526215
2016-02-05,58648.184008,Cluster 0,156154.05417672647,92220.96958934305
2016-02-06,85062.153994,Cluster 0,178420.55875772136,86521.47870872662
2016-02-07,66488.311,Cluster 0,187763.38469876794,101399.34975796205
2016-02-08,54832.374,Cluster 0,161189.2478540475,113503.272867995
2016-02-09,60866.982992,Cluster 0,283310.69963965745,92075.87812377734
2016-02-10,61605.701892000005,Cluster 0,186156.08651253837,112255.09610541251
2016-02-11,52806.273992,Cluster 0,189249.81424576495,98094.89905129655
2016-02-12,53443.76,Cluster 0,159813.00271947103,96024.47841524532
2016-02-13,70458.911998,Cluster 0,155347.77157556586,88908.72723743711
2016-02-14,84279.121015,Cluster 0,146065.83762119172,102874.50099150038
2016-02-15,62283.368987,Cluster 0,155919.66353376128,113568.52482389603
2016-02-16,59247.18201,Cluster 0,166073.1393089881,94568.94715260161
2016-02-17,55451.390051,Cluster 0,177536.0957141303,110924.01840621838
2016-02-18,49467.142016,Cluster 0,199802.6002926496,100786.34669687982
2016-02-19,48408.815988,Cluster 0,209145.426234034,97547.82255819863
2016-02-20,70674.654975,Cluster 0,182571.28939028576,91909.80247812314
2016-02-21,88621.922095,Cluster 0,304692.7411757294,106061.62966931159
2016-02-22,55275.585001,Cluster 0,207538.1280482296,117492.92499821832
2016-02-23,51640.230005,Cluster 0,210631.85578153483,97247.91582023722
2016-02-24,52706.51404,Cluster 0,181195.0442553895,116124.92592935343
2016-02-25,46378.167,Cluster 0,176729.81311144822,103042.83011482753
2016-02-26,47219.827001,Cluster 0,167447.87915701626,100914.532952274
2016-02-27,71845.703001,Cluster 0,177301.7050696021,94273.83430000496
2016-02-28,88211.854994,Cluster 0,187455.18084485133,107685.96747687545
2016-02-29,61049.412005,Cluster 0,198918.13724998635,118029.04021001124
2016-03-01,80313.450995,Cluster 0,221184.641828497,99660.8891452408
2016-03-02,72990.075018,Cluster 0,230527.4677698846,115650.33263506817
